CRLF,Bullfrog,BIGFROG,COEX,Latitude,Longitude,Elevation,Turbidity,WaterColor,MaxDepth,AvgDepth,CanopyCover,CANOPY1,CANOPY2,VegetatedEdge,VEGEDGE1,VegetatedEdgeSp2,VEGEDGE3,VEGEDGE4,CenterVeg(%),CENTERVEG1,CenterVegSp2,CENTERVEG3,CENTERVEG4,SUBVEG,ALGAE,HABITAT,ORIGIN,DRAIN,WHENDRY,Area(m2),SUBSTRATE,Condition,TrailDistance(m),DirtRoadDistance(m),PavedRoadDistance,PTF,WT,WEPT,CTS,CalNewt,GATR,CRAYFISH,BIGFISH,MOSQUITO,SIZE,Length,Width
0,0,0,NA,37.059984,-121.413179,642.8232,4,2,1.2192,0.9144,0,0,0,50,1,3,0,0,5,2,0,0,0,2,1,1,1,0,4,97.54815,0,2,3.048,3.048,2438.4,1,0,0,1,1,1,0,0,0,0,9.144,10.668
0,0,0,NA,37.06113,-121.422419,564.7944,4,2,1.524,0.9144,0,0,0,25,1,0,0,0,5,2,0,0,0,1,1,1,1,0,2,188.128575,0,3,3.048,60.96,2438.4,1,0,0,0,1,1,0,0,0,1,13.716,13.716
0,0,0,NA,36.527533,-121.912967,59.1312,4,2,1.2192,0.6096,0,0,0,100,1,2,0,0,10,2,4,0,0,1,1,1,1,0,5,41.80635,0,3,6.096,6.096,66.4464,1,0,0,0,0,0,0,0,0,1,9.144,4.572
0,0,0,NA,36.513383,-121.889533,270.3576,5,2,0.9144,0.4572,0,0,0,60,1,0,0,0,15,2,4,4,0,1,1,1,0,0,4,16.72254,0,2,6.096,6.096,1625.4984,1,0,0,1,1,0,0,0,0,0,4.572,3.6576
0,0,0,NA,36.500102,-121.836324,253.8984,4,2,1.2192,0.9144,10,1,0,100,1,0,0,0,0,0,0,0,0,1,1,1,1,0,6,9.2903,0,2,106.68,106.68,121.92,1,0,0,0,0,0,0,0,0,0,3.048,3.048
0,0,0,NA,36.465117,-121.817783,416.3568,4,2,0.9144,0.3048,0,0,0,100,1,0,0,0,0,0,0,0,0,0,2,1,1,0,6,232.2575,0,3,18.288,18.288,18.288,1,0,0,0,0,0,0,0,0,1,15.24,15.24
1,0,1,0,37.387867,-121.74845,570.2808,4,2,0.9144,0.4572,0,0,0,100,1,0,0,0,15,2,0,0,0,1,2,1,0,0,5,20.903175,0,2,18.288,18.288,457.2,1,0,0,0,1,0,0,0,0,0,4.572,4.572
1,0,1,0,36.476517,-121.754717,464.5152,2,1,1.2192,0.6096,0,0,0,100,1,0,0,0,50,4,2,4,1,2,1,1,0,0,3,464.515,0,1,7.62,967.74,999.744,1,0,0,0,1,1,0,0,0,2,30.48,15.24
1,0,1,0,37.076387,-121.40927,534.924,4,1,1.2192,0.6096,0,0,0,100,1,0,0,0,20,2,4,0,0,1,1,1,1,1,0,250.8381,0,2,1.524,60.96,2438.4,1,0,0,0,1,1,0,0,0,1,27.432,9.144
1,0,1,0,37.092343,-121.417742,658.9776,3,1,3.048,1.524,0,0,0,100,1,0,0,0,60,4,2,0,0,2,0,1,1,1,0,650.321,0,2,9.144,9.144,2438.4,1,0,1,0,1,1,0,0,0,2,30.48,21.336
1,0,1,0,37.095763,-121.438049,717.804,2,1,1.2192,0.9144,0,0,0,100,1,0,0,0,30,4,2,0,0,1,1,1,1,1,0,520.2568,0,2,121.92,121.92,2438.4,1,0,0,0,1,1,0,0,0,1,24.384,21.336
1,0,1,0,37.089043,-121.455343,562.9656,4,2,1.2192,0.9144,0,0,0,80,1,0,0,0,10,2,4,0,0,2,0,1,1,0,2,111.4836,0,2,21.336,243.84,1066.8,1,0,0,0,1,1,0,0,0,0,12.192,9.144
1,0,1,0,37.093325,-121.440835,727.8624,2,1,2.4384,1.8288,0,0,0,100,1,0,0,0,50,4,2,0,0,2,1,1,1,1,0,167.2254,0,2,152.4,152.4,1524,1,0,0,0,1,1,0,0,0,1,18.288,9.144
1,0,1,0,37.050256,-121.430315,327.9648,4,2,1.2192,0.6096,0,0,0,30,1,0,0,0,15,2,0,0,0,0,0,1,1,0,4,501.6762,0,2,60.96,60.96,1310.64,1,0,1,1,1,1,0,0,0,1,27.432,18.288
1,0,1,0,37.080781,-121.460785,528.828,5,3,0.9144,0.6096,0,0,0,70,1,0,0,0,10,2,4,0,0,4,2,1,1,0,1,167.2254,0,2,60.96,548.64,548.64,1,0,0,0,1,1,0,0,0,1,18.288,9.144
1,0,1,0,36.522542,-121.894531,136.5504,3,1,2.7432,1.524,0,0,0,100,1,2,3,0,90,4,5,3,0,0,0,1,1,1,0,278.709,0,3,6.096,6.096,2133.6,1,0,0,0,0,1,0,0,0,1,18.288,15.24
1,0,1,0,36.50997,-121.887941,275.844,2,1,3.048,1.524,5,2,0,100,1,0,0,0,25,3,1,1,0,2,1,1,1,1,0,455.2247,0,2,10.0584,10.0584,1371.6,1,0,0,0,1,1,0,0,0,2,21.336,21.336
1,0,1,0,36.507402,-121.879161,311.2008,5,2,1.8288,0.9144,0,0,0,10,2,0,0,0,10,1,0,0,0,0,1,1,1,1,0,464.515,0,2,15.8496,15.8496,609.6,1,0,0,1,1,1,0,0,0,2,30.48,15.24
